Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
09/04/2014, Arizona, 223, 44, 231, 32, 17, 8, 73, 0, 0, 22, 15, 4, 1, 0, 1616, 26, UTSA, 121, 39, 228, 33, 22, 6, 53, 0, 1, 23, 12, 3, 1, 1, 1984, 23
09/05/2014, Pittsburgh, 303, 51, 111, 20, 10, 6, 55, 0, 1, 22, 15, 6, 0, 0, 2005, 30, Boston College, 142, 34, 134, 28, 10, 3, 25, 0, 2, 15, 14, 4, 1, 1, 1595, 20
09/05/2014, Washington State, 38, 18, 389, 57, 38, 10, 72, 0, 2, 25, 15, 5, 2, 0, 1628, 13, Nevada, 214, 56, 110, 21, 12, 9, 90, 0, 0, 17, 18, 6, 3, 1, 1972, 24
09/06/2014, Arkansas State, 141, 42, 190, 36, 22, 9, 75, 1, 0, 17, 17, 4, 5, 2, 1931, 19, Tennessee, 168, 45, 247, 38, 22, 2, 14, 0, 1, 23, 18, 9, 0, 0, 1845, 34
09/06/2014, Buffalo, 153, 29, 401, 51, 35, 7, 64, 0, 3, 33, 9, 3, 3, 1, 1771, 39, Army, 341, 54, 125, 7, 7, 12, 105, 2, 0, 17, 11, 5, 3, 3, 1770, 47
09/06/2014, Florida Atlantic, 57, 24, 88, 19, 12, 3, 23, 1, 0, 9, 10, 2, 1, 0, 1417, 0, Alabama, 190, 32, 430, 38, 27, 6, 60, 1, 0, 27, 12, 6, 1, 1, 1710, 41
09/06/2014, McNeese State, 178, 45, 160, 26, 12, 6, 44, 0, 1, 15, 17, 5, 2, 2, 2092, 24, Nebraska, 195, 33, 242, 31, 16, 5, 40, 0, 1, 17, 13, 4, 2, 1, 1484, 31
09/06/2014, Missouri, 177, 47, 325, 33, 21, 2, 25, 0, 2, 25, 17, 9, 0, 0, 2019, 49, Toledo, 154, 32, 256, 44, 23, 9, 60, 1, 1, 18, 18, 6, 0, 0, 2392, 24
09/06/2014, Oklahoma, 261, 31, 319, 38, 24, 5, 60, 0, 0, 26, 14, 7, 0, 0, 1615, 52, Tulsa, 94, 34, 234, 50, 27, 6, 62, 1, 3, 23, 19, 6, 3, 2, 1945, 7
09/06/2014, Stony Brook, 104, 37, 196, 29, 12, 12, 108, 0, 0, 9, 18, 3, 3, 1, 1942, 16, Connecticut, 81, 37, 142, 27, 12, 3, 25, 2, 0, 15, 16, 4, 0, 0, 1658, 19
09/06/2014, SMU, 10, 14, 266, 45, 24, 7, 60, 3, 2, 16, 11, 1, 3, 1, 1605, 6, North Texas, 245, 55, 108, 17, 12, 15, 139, 0, 0, 17, 16, 6, 0, 0, 2198, 43
09/06/2014, Kansas State, 232, 41, 239, 29, 16, 10, 77, 0, 0, 24, 14, 6, 1, 0, 1806, 32, Iowa State, 105, 37, 214, 33, 22, 5, 55, 0, 1, 21, 13, 4, 3, 1, 1794, 28
09/06/2014, Western Kentucky, 103, 30, 297, 48, 28, 5, 24, 2, 1, 23, 16, 7, 2, 1, 1494, 34, Illinois, 64, 35, 456, 50, 35, 9, 69, 2, 1, 29, 13, 10, 1, 0, 2106, 42
09/06/2014, Akron, 69, 25, 208, 46, 24, 7, 64, 0, 0, 17, 17, 5, 2, 0, 1754, 3, Penn State, 106, 31, 319, 37, 22, 3, 25, 1, 2, 27, 10, 4, 0, 0, 1826, 21
